3.1 GOVERNANCE MONITORING AND COMPLIANCE: 2024/2025 QUARTER 2 REPORT EXPANSIONS,,,,,,,,,,,,,,
Number,Perdiordo p/ dQouwanrt eLri s (tU)se,Date (Ryyeyceyi/vmemd /Bddy) GMC,(UEsneti tdyr/oDpedpoawrtnm Leinstt ),Project Description,Supplier / Service Provider,Reason for Expansion,Value of Cont[rRa]ct Expansion,Original Co[Rnt]ract Value,Value of Prev[iRo]us Expansion,Awa(rydy byyy /AmOm/ /AdAd )date,Co(nytyryacyt/ mstmar/td dda)te,Con(ytryaycyt /emxmpi/rdyd d)ate,(Use drSotpadtuoswn List),
24,Q2 2024/25,2024/06/20,Eskom Holdings SOC Ltd,Provision of Conde6n aste Mr Cajhuebma iPcaolw Celer aSntaintigo nFor Unit 5 and Unit,Gra-Tech Pty (Ltd),Variation,"R2 293 974,00","R9 741 494,29","R0,00",2024/06/04,2022/09/16,2025/09/15,Reported,
25,Q2 2024/25,2024/06/20,Eskom Holdings SOC Ltd,"The ManufactuArses,e Smubplpielys a(RnCd CDAesli)v eforyr Koof eRboedr gControl Cluster",Framatome,Expansion,"R110 847,99","R39 971 412,79","R486 200,00",2024/06/13,2022/01/04,2024/12/31,Reported,
26,Q2 2024/25,2024/06/20,Eskom Holdings SOC Ltd,"TaEhsResIo S Ccuioap ntpesldty r u,c rcdo eten qiols uiv nu ire m eSr dyae bra bvln aeicd ssei sOas t ff b oftl uh ro sea ai d nv pi ean esrg risio o ouudfsn L o ipti f,g o 1ohw nt yien earg a s “rMta”a sat itoaennrsdia il wns hathenend",Imperial & Lig2h0t2in0g/1 (6P9T9Y1)5 L/0T7D – Reg. No:,Expansion,"R4 414 447,50","R46 615 609,00","R0,00",2024/04/29,2023/05/01,2024/04/30,Reported,
27,Q2 2024/25,2024/06/20,Eskom Holdings SOC Ltd,Security Services,Best Enough Tr2a0d1in0g/0 P56ro8j8e0ct/s2 3147 CC Reg No,Expansion,"R9 392 655,49","R16 480 795,32","R0,00",2024/04/12,2021/11/22,2025/01/02,Reported,
28,Q2 2024/25,2024/06/20,Eskom Holdings SOC Ltd,"The repfruortbeicsthiomne, ntet,s itninsgta allnadtio cno mofm ciasbslieosn, arat cvkasri opuosw seirt ecsontrol,",Fullserve (PTY) Ltd,Expansion,"R21 192 705,21","R109 800 015,75","R0,00",2024/04/03,2021/04/08,2024/12/08,Reported,
29,Q2 2024/25,2024/06/28,South African Fore(SstAryF CCOomL)pany SOC Limited,Request fors eVravriicpaeetiso r in oa dti n No gr fe oolma nt eeio (Pn 1 l)ta o Mn atoa nptitrohon.v fisoiro an of security,Fezela ProtectiLotnd Services (Pty),Business continuity,"R154 163,19","R462 489,57","R0,00",2024/06/14,2024/06/16,2024/07/16,Reported,
30,Q2 2024/25,2024/06/28,South African Fore(SstAryF CCOomL)pany SOC Limited,Request for Vasrieparetvio riicn oe disn o ar fe to lBa nrt eioo o(n 1k )tl ao Mn a od n pftor hor. vaision of security,EBL Tactical Security Services,Business continuity,"R84 448,33","R253 344,99","R0,00",2024/06/07,2024/06/08,2024/07/08,Reported,
31,Q2 2024/25,2024/06/28,South African Fore(SstAryF CCOomL)pany SOC Limited,Request for Varsi paeetrio rvin oic dein so r fae otl a nRt eioo (bn 1u )tr onM iaao fnpotrrho a.vision of security,EBL Tactical Security Services,Business continuity,"R171 948,00","R338 146,00","R0,00",2024/06/13,2024/06/15,2024/07/15,Reported,
32,Q2 2024/25,2024/06/27,National Home Bu(NildHeBrsR RCe)gistration Council,Extension of four (4) moNnethwsC waisthtl eIs Oibfafiycae Office Park for NHBRC,NewCastle Office Park,Tender advertised and administratively non-responsive,"R154 383,76","R1 077 692,44",R0.00,2024/06/27,2024/07/01,2024/10/31,Reported,
33,Q2 2024/25,2024/06/28,Eskom Holdings SOC Ltd,"The manufacture, mteosutinngte adt Awuotork Rs,e t-rcalionsinegrs and supply of pole",RWW Engineering (Pty) Ltd Expansion,,"R82 512 980,71","R297 378 527,58","R3 704 967,80",2024/04/18,2019/01/02,2026/01/31,Reported,
34,Q2 2024/25,2024/06/28,Eskom Holdings SOC Ltd,Modificatiosne frovri cthees cinocnrteraascet wointh tiinm Ge aauntde nvga lCuelu fsotre rthe security,RG hMM r Lia F M nHao ic PiI InorK dw jm md aee dr fBeiy i oi y s b v vabma l ia ri eu ue do i t cn d y Ie ls s vlG i ne edP u ea aSS tA u er s S PG G T Teo efa t rr e rr rgu ct crr Pie oa acocd rua uc rtd daauus err r ot i itid inpri cn nt ett(o i yeyi tP tg ga dSyn ( i a oP Sn t S e 9 9y SnSS Ct eec) 3 3( y eoe rP Sr ou 1 1)L cvvlr u it r eivt i uL ny c ccid cti rt rti)c y c ce. e vod i te isL sn. ycs ts ed s.,Expansion,"R138 028 753,94","R344 669 673,61","R14 174 088,16",2024/01/06,2021/01/06,2024/05/31,Reported,
35,Q2 2024/25,2024/06/28,Eskom Holdings SOC Ltd,Modification of Debt Collection Services,,,"R1 301 442,09","R7 618 080,00","R450 000,00",2024/05/01,2022/08/08,2026/03/31,Reported,
Number,Perdiordo p/ dQouwanrt eLri s (tU)se,Date (Ryyeyceyi/vmemd /Bddy) GMC,(UEsneti tdyr/oDpedpoawrtnm Leinstt ),Project Description,Supplier / Service Provider,Reason for Expansion,Value of Cont[rRa]ct Expansion,Original Co[Rnt]ract Value,Value of Prev[iRo]us Expansion,Awa(rydy byyy /AmOm/ /AdAd )date,Co(nytyryacyt/ mstmar/td dda)te,Con(ytryaycyt /emxmpi/rdyd d)ate,(Use drSotpadtuoswn List),
36,Q2 2024/25,2024/06/28,Eskom Holdings SOC Ltd,"Modificateioxtne nofs icbolen vbeurstiinn(geX sa Bsn rneLup)aol rftiinnagn lcainagl ustaagteements to
R",Ernst & Young Advisory Services Pty Ltd,Expansion,"R425 382,70","R427 218,29","R0,00",2024/05/22,2021/06/01,2026/05/31,Reported,
37,Q2 2024/25,2024/07/04,Eskom Holdings SOC Ltd,"Promvoisniiotonr ifnogr ,P S eh esy ccs toii ocrntai nl f ogS r ea acn udpr eiat ryriom G deu doa frr ted hsin rpegoe nS (se 3er )v yiinc e e aths res w Nhoicrhth iwncelsutd e",Bamogale Security Solutions,Expansion,"R4 582 195,20","R5 269 524,48","R0,00",2024/05/21,2021/06/01,2024/05/31,Reported,
