3.1 GOVERNANCE MONITORING AND COMPLIANCE: 2024/2025 QUARTER 2 REPORT EXPANSIONS,,,,,,,,,,,,,,
Number,Perdiordo p/ dQouwanrt eLri s (tU)se,Date (Ryyeyceyi/vmemd /Bddy) GMC,(UEsneti tdyr/oDpedpoawrtnm Leinstt ),Project Description,Supplier / Service Provider,Reason for Expansion,Value of Cont[rRa]ct Expansion,Original Co[Rnt]ract Value,Value of Prev[iRo]us Expansion,Awa(rydy byyy /AmOm/ /AdAd )date,Co(nytyryacyt/ mstmar/td dda)te,Con(ytryaycyt /emxmpi/rdyd d)ate,(Use drSotpadtuoswn List),
146,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,Provision of private security services at Matimba Power Station,Mjayeli Security Services (Pty) Ltd,Expansion,"R2 844 926,67","R18 508 244,66","R518 000,00",2024/05/30,2022/12/15,2024/05/30,Reported,
147,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,Thea muaxiilniaterineas nfrcoem a nUdn ittesc 1h ntoic a6l astu Dppuovhrta o Pf tohwee mr iSllsta atinodn mill,Enflotech (Pty) Ltd,Expansion,"R868 229,75","R183 990 860,92","R98 880 390,00",2024/05/23,2017/08/01,2024/06/30,Reported,
148,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,Refurbishment of the WorPksrohjoepc tand Stores Roof Cladding,SAWA Construction,Expansion,"R2 786 784,80","R11 896 677,00","R0,00",2024/05/15,2023/08/15,2024/11/14,Reported,
149,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"SFP cMlur ro aie lv lp iGi nes gi rao sC&n o co Plnef F vaB en Po yi iinoplegrin,r, gBMF oMua ieli aenl irt n e OPtn eiral ne Pn asclsnae ucn reste e& S Pr evOai rc rvitle i scBs e& uf so r Snr a ettA e r Ku asx u,m i sSl i ia Pu ler iby p Pm ib noeo gwri gl aeeenrrd , d",Mitsubishi Power Africa (Pty) Ltd,Expansion,"R37 800 000,00","R228 589 171,00","R0,00",2024/05/02,2021/12/02,2024/10/31,Reported,
150,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,Coal Plant Maintenance,Ratamang Engineering and Supplies (Pty) Ltd,Expansion,"R5 069 035,40","R7 744 799,40","R9 327 033,75",2024/05/03,2022/02/18,2025/03/15,Reported,
151,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,Hazmat Modification,Revamp Engineering Services (Pty) Ltd,Expansion,"R11 068 640,52","R44 274 562,10","R0,00",2024/05/26,2023/01/17,2026/03/26,Reported,
Number,Perdiordo p/ dQouwanrt eLri s (tU)se,Date (Ryyeyceyi/vmemd /Bddy) GMC,(UEsneti tdyr/oDpedpoawrtnm Leinstt ),Project Description,Supplier / Service Provider,Reason for Expansion,Value of Cont[rRa]ct Expansion,Original Co[Rnt]ract Value,Value of Prev[iRo]us Expansion,Awa(rydy byyy /AmOm/ /AdAd )date,Co(nytyryacyt/ mstmar/td dda)te,Con(ytryaycyt /emxmpi/rdyd d)ate,(Use drSotpadtuoswn List),
152,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"T Eh xFe tre aWecdto i orwk nEas qPhte uo ur ip mp( E mpRlseee ncf au ttn rr aib dc ti s oF 1h te 4hm eeCedro n aa at s n la sd Fn o idScre itaoe dr ta e PRmdoe pwFp uea emei rr d pSc)sto, a n aC tit noor da nn c sdate uonxf is lB iaaotreii el e sr",Sulzer Pumps South Africa,Expansion,"R225 802 692,35","R189 497 154,25","R0,00",2024/04/26,2021/05/25,2024/12/31,Reported,
153,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"Dis3t0ri0bWu MtAoa rt;n oMu MSfa;acStt iAu mBr beSa, S1Pu4op3w1p e lyar na Sdn t adInt id osee nlr i ftv o: e rSr aym tapolel I rDn iosisdet rroti:bf LuFatiovr erg; e yM eSa rGsR",Witbank Foundry (Pty) Ltd,Expansion,"R4 272 000,00","R22 911 000,00","R0,00",2024/05/30,2019/06/01,2024/05/31,Reported,
154,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"SGuepaprlbyo oxfe Ns efowr AaC pCer Gioreedqa ourfb r3o e6x de mbs aoa snn itsdh. sr eofnu rabnis hams eanntd o wf hAeCnC
i",Bearing Man Group (Pty) Ltd,Expansion,"R18 174 535,79","R12 390 887,07","R0,00",2023/12/12,2022/10/03,2025/10/02,Reported,
155,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,ClTuhsete rp (rLoivmispioopno o af nmdin Morp uremtiac bluaalnsa igt sioa)n osne r“vaisc easn wd iwthhine nL”im relaqnugirae d,"E(nPCttA eo yrvn )p as Lrntitsr dsue,ac Br ateino il idnD y oe D& nv r,eEi vBllo ienKpcg mt A rSie ic rcn a Lhtl , ioP n Bokr lao (tj CPleac otsyt mes ) , mLB B tuuda ns,f iiu Bcnn aeae tszio islon r",Expansion,"R102 415 200,39","R280 000 000,00","R20 000 000,00",2023/12/13,2021/09/01,2023/08/30,Reported,
156,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"Th (de eir le eecs ccot tta r n iinb fitcfrli iaas llc /h tpitm oo onre ss tn o f ct fo oo hr nf o t nahuenesc eEp thir on oo na lvdsbis ,l c iin aoog snn nwAoegf e cre lle t il aoee sncm tstre h,ic n eiant lfew rc laeiot sh cntt rt ra ur ifa cip ccta uatin rtneie og l na o nof d f2 2","EMlP eacrte timrs Tictb r aB aald, u Y iMs nai gn aR ,e nOsipds xf uMiS omu r N ep Celpo ivfl ai ieT ls r Er ,aE nRdlteie encj rgc tpro, ri cinD sa eaE l,,v n MiFegsii Mrn mae Nn e DSdri u nSpgop, nl y",Expansion,"R26 598 534,66","R230 462,00","R166 836 165,00",2024/04/12,2020/12/15,2024/12/14,Reported,
157,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,PrSoveirsvioicne so ff oSrp MMecbpioa uml misbaeeld ala nF gaa anc di Oli tEpie ersmr aSetlieonr gvE i Ucseknsoit mF irPea Prkr ointe tchteio n,Transfire (Pty) Ltd,Expansion,"R500 000,00","R1 891 500,00","R0,00",2024/03/20,2021/03/25,2024/11/23,Reported,
158,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,The Provision of security serUvinceits for Mpumalanga Operating,Double Barell Security Services CC,Expansion,"R11 624 711,00","R76 304 273,76","R0,00",2024/02/14,2021/03/01,2024/07/31,Reported,
159,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,The Provision of security serUvinceits for Mpumalanga Operating,Tlhomphanang Business Enterprise,E x p a n s i o n,"R12 572 565,75","R77 552 093,76","R0,00",2024/02/14,2021/03/01,2024/07/31,Reported,
160,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,The Provision of security serUvinceits for Mpumalanga Operating,Gubis Solutions,Expansion,"R5 873 247,90","R40 518 663,35","R0,00",2024/02/14,2021/03/01,2024/07/31,Reported,
161,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,The Provision of security serUvinceits for Mpumalanga Operating,SecureLife Security Services,Expansion,"R9 829 237,25","R66 425 535,48","R0,00",2024/02/14,2021/03/01,2024/07/31,Reported,
162,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,The Provision of security serUvinceits for Mpumalanga Operating,Mphosha Security Services,Expansion,"R9 731 790,95","R59 549 593,76","R0,00",2024/02/14,2021/03/01,2024/07/31,Reported,
163,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,The Provision of security serUvinceits for Mpumalanga Operating,Vick Pule Construction Projects,Expansion,"R6 041 248,15","R38 468 504,45","R0,00",2024/02/14,2021/03/01,2024/07/31,Reported,
164,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,The provision of seMcuorkitoyp gaunaer dSinecgt oserrvices in Limpopo-,Ensemble Security Trading 2366,Expansion,"R5 584 053,80","R14 558 144,32",R7 023 967.04,2024/05/15,2021/03/06,2024/11/30,Reported,
165,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,The provision of sePcuolroitkyw gaunaerd Sinegc tsoerrvices in Limpopo -,Ensemble Security Trading 2366,Expansion,"R12 013 951,93","R16 163 677,47",R10 041 362.66,2024/05/15,2021/03/06,2024/11/30,Reported,
166,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,The provision of seMcuorditiym goullaer Sdiencgt osrervices in Limpopo-,Ensemble Security Trading 2366,Expansion,"R3 916 626,90","R12 180 606,32",R3 432 757.00,2024/05/15,2021/03/06,2024/11/30,Reported,
167,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,The provision of secLuerpithya glaulea rSdiencgt osrervices in Limpopo-,Ensemble Security Trading 2366,Expansion,"R8 583 529,77","R13 208 451,42",R7 457 751.52,2024/05/15,2021/03/06,2024/11/30,Reported,
168,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,The provision of sTehcouhriotyy agnudaorud inSge csteorrvices in Limpopo-,Securelife Security Services,Expansion,"R7 125 350,90","R10 542 013,23",R3 846 712.62,2024/05/15,2021/03/01,2024/11/30,Reported,
169,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,The provision of secMuariktyh agduoa rSdeincgto srervices in Limpopo-,Ensemble Security Trading 2366,Expansion,"R7 059 483,39","R11 250 542,65",R8 539 940.18,2024/05/15,2021/03/01,2024/11/30,Reported,
170,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,The provision of security guaSredcintogr services in Limpopo- Giyani,Securelife Security Services,Expansion,"R4 716 779,23","R9 421 914,74",R6 864 422.62,2024/05/15,2021/03/01,2024/11/30,Reported,
171,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,The provision of secTuzraitny egeuna rSdeincgto srervices in Limpopo-,Ensemble Security Trading 2366,Expansion,"R5 629 373,15","R9 453 185,29",R4 563 826.59,2024/05/15,2021/03/01,2024/11/30,Reported,
172,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,The provision of seGcruorbitlye rgsudaarld Sinegc tsoerrvices in Limpopo-,Securelife Security Service,Expansion,"R6 445 074,76","R10 201 196,51",R3 996 365.30,2024/05/15,2021/03/01,2024/11/30,Reported,
173,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,The provision of seBcuurrgiteyr sgfuoartr dSinegc tsoerrvices in Limpopo-,Securelife Security Service,Expansion,"R6 850 825,52","R10 639 355,82",R7 875 974.52,2024/05/15,2021/03/01,2024/11/30,Reported,
174,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,Prtohvei sNioonrt hoef rPnh Cysaipcael OGpuearradtiinngg SUenrivt ifcoer sa a pcerorisosd voaf r3io6u ms osnitethss i n,SeMctjoary);e Mli Suleacnugrait & yS KSeaecurr ovriiocty e S sae n( cHdto aTrr )rtas in&i nKgg (a(lKaaglaadhia ri,Expansion,"R19 438 238,16","R97 448 701,04",R13 817 192.80,2024/04/25,2021/06/01,2024/05/31,Reported,
175,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"The manufacture, mteosutinngte adt Awuotork Rs,e t-rcalionsinegrs and supply of pole",RWW Engineering (Pty) Ltd,Expansion,"R71 750 418,01","R297 378 527,58","R3 704 967,80",2024/04/18,2019/01/02,2026/01/31,Reported,
176,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,Modificatiosne frovri cthees cinocnrteraascet wointh tiinm Ge aauntde nvga lCuelu fsotre rthe security,GMM raao cK rd eeyi bs aae on G l dePu r GSoa eutred cacs urt dri( io iP tayntn y SS )(o e PL lr uttv yd ti )i.c o Le nts sd.,Expansion,"R120 025 003,43","R344 669 673,61","R14 174 088,16",2024/01/06,2021/01/06,2024/05/31,Reported,
177,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,Modification of Debt Collection Services,M No imrCk baSS ll eSAio Y C CRA ore leR lv edee citnc t iSo oueov ne luS Sr tio ee iol rsunv t isPi co t ePny s tsL yP Pt Ld tyttyd L L tdtd,Expansion,"R1 131 688,77","R7 618 080,00","R450 000,00",2024/05/01,2022/08/08,2026/03/31,Reported,
178,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"Modificateioxtne nofs icbolen vbeurstiinn(geX sa Bsn rneLup)aol rftiinnagn lcainagl ustaagteements to
R",Ernst & Young Advisory Services Pty Ltd,Expansion,"R369 898,00","R427 218,29","R0,00",2024/05/22,2021/06/01,2026/05/31,Reported,
179,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,Provision of Site Facilities Services,Magmacore and Geshom Construction JV,Expansion,"R5 430 336,71","R18 234 890,00","R4 089 950,00",2024/05/31,2018/04/01,2025/01/31,Reported,
180,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,TPhlaen pt raorveisaiso n/ Oofu Itnsdidues p tPr eila rail on C dt laoerfae tnahisn re gae tS yDe eur avvrihc sae sP oonw Bero Siletar t&ioTnu frobri nae,Lahleni Investments,Expansion,"R2 795 072,60","R64 351 251,44","R7 123 120,41",2024/05/30,2020/01/12,2024/06/30,Reported,
181,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"Ascouofx pi alie a d rieyn tb hcB rl euia s d Ay ne uS es xtu itt liihs napegre y /ds n Beyds aseitygd e n amC, r eemaai blai n oang vtu e Lf(a 2 etch8 thtemu a rs bel ue o, sv s Ppeuel o)pn wpR deleyer,p d Sal a ctnc aede tii lm oiinn ne gs .nt awt.lil ta hTtiinho en",Hage Project and Consulting Engineers (Pty) Ltd,Expansion,"R915 023,97","R5 406 749,62","R0,00",2024/06/04,2023/08/15,2025/08/14,Reported,
182,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,Refurbishment of the WorPksrohjoepc tand Stores Roof Cladding,SAWA Construction,Expansion,"R2 660 584,80","R11 896 677,00","R0,00",2024/06/05,2023/08/15,2024/11/14,Reported,
183,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"MMaaiinntteennaannccee oann dD uOsut tHagaensd laint gM Paltaimntb, aP Preocwipeitra Stotarsti ofonr",BKM Tshimollo Holdings (Pty) Ltd,Expansion,"R1 771 560,00","R8 387 067,69","R22 550 033,25",2024/05/31,2022/03/01,2024/07/31,Reported,
184,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,Provision of hydyreaaurlisc amt aKinutseilnea Pnocew esre rSvtiacteiosn for a period of 5,Hyses (Pty) Ltd,Expansion,"R34 842 130,00","R35 084 820,00","R0,00",2024/05/16,2023/02/20,2028/02/21,Reported,
185,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"ATbhluet iporno vAirseioans oaft NDounv-hInad Puoswtr yei earal SC rstlaetaionnin fgo-rO af fpiceersio, dK iotcf h3e (nth arened)",ThembalamantuLntgdwa Trading (Pty),Expansion,"R2 386 279,00","R47 460 880,00","R29 320 256,05",2024/05/31,2019/01/03,2024/08/02,Reported,
186,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,Provision oaf Speoroiot dB loofw 3e yr efoarr sn oartm Kauls Milea iPnotewnearn Sceta atinodn outage for,Katale Trading & Projects CC,Expansion,"R30 190 085,38","R48 130 699,74","R0,00",2024/05/31,2021/04/15,2025/04/14,Reported,
187,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,Tsehrev ipcreosv diseiopna rotmf ae nste fcorre taa rpye Srtoitoa ds tiu oop nfp .1o2rtm tohnet hFsin aatn Ccea mandde nS Pupopwoerrt,Harambee General Services (Pty) Ltd,Expansion,"R163 990,33","R201 561,60","R187 152,40",2024/05/31,2022/06/01,2025/05/31,Reported,
188,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,The compsrpeasrseosr so mn aainn t“eansa- nacned a- nwdh esenr”v riecqeu airnedd tbhaes pisrovision of,CompAir SA (Pty) Ltd,Expansion,"R44 243 452,40","R55 693 304,79","R16 042 420,26",2024/06/05,2021/06/11,2025/06/10,Reported,
189,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"ProvisSiotna toiofn H, oVratiaclu Dltuarme,, PAlaienntf oPnlatenitns FCaornmtsro (lR aet pGurropootsvilnegi )Power",Africa Thumamina,Expansion,"R17 966 832,86","R28 139 177,59","R0,00",2024/05/10,2023/06/01,2028/05/31,Reported,
190,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,The refurbiSsthamtioenn tf oarn da rpeepraioird ooff LTVh mreoet o3r sY eaat rKsu.sile Power,Winding Technologies,Expansion,"R4 500 000,00","R9 289 121,21","R0,00",2024/04/29,2022/02/15,2025/02/14,Reported,
Number,Perdiordo p/ dQouwanrt eLri s (tU)se,Date (Ryyeyceyi/vmemd /Bddy) GMC,(UEsneti tdyr/oDpedpoawrtnm Leinstt ),Project Description,Supplier / Service Provider,Reason for Expansion,Value of Cont[rRa]ct Expansion,Original Co[Rnt]ract Value,Value of Prev[iRo]us Expansion,Awa(rydy byyy /AmOm/ /AdAd )date,Co(nytyryacyt/ mstmar/td dda)te,Con(ytryaycyt /emxmpi/rdyd d)ate,(Use drSotpadtuoswn List),
191,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,Prohvaisnidolnin fgo rs ymsatenmuf aacnt pdu e rae riir oa dsnl ioddf e r 1es2f ua mrt bMois nah tthmlase Pnot wofe sr lsutraryti opnla fnotr BaB A,Mbali Industrial Solutions,Expansion,"R9 476 794,29","R21 113 163,01","R0,00",2024/05/24,2021/02/24,2025/05/23,Reported,
192,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,ProvisionS otaf thioyng iefonre a s peervriiocde so af t1 K yoemarati Power,Bidvest Steiner (Pty) Ltd,Expansion,"R117 510,00","R470 000,00","R198 850,00",2024/06/06,2023/01/11,2024/09/10,Reported,
193,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,Supply and deplievreioryd ofof rc sletoacnkin rge pmleanteisrihaml feonr ta five (5) year,Baetshephi Civil and Construction CC,Expansion,"R3 148 000,00","R7 771 203,50","R0,00",2024/06/13,2023/03/16,2028/03/31,Reported,
194,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,Supply and deplievreioryd ofof rc sletoacnkin rge pmleanteisrihaml feonr ta five (5) year,Divine Roots (PtyS) et/rav icTesshehlana Cleaning,Expansion,"R2 706 655,84","R1 649 709,16","R0,00",2024/06/13,2023/03/16,2028/03/31,Reported,
195,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,The provision\m oof nFtihres aant dC ammeddeicna lP soewrveirc eSsta ftoior na period of 36,Mpumacare Emergency medical service,Expansion,"R7 009 880,00","R19 222 395,00","R0,00",2024/06/04,2023/08/14,2026/08/13,Reported,
196,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,Provision of Conde6n aste Mr Cajhuebma iPcaolw Celer aSntaintigo nFor Unit 5 and Unit,Gra-Tech Pty (Ltd),Expansion,"R1 994 760,00","R9 741 494,29","R0,00",2024/06/04,2022/09/16,2025/09/15,Reported,
197,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"The ManufactuArses,e Smubplpielys a(RnCd CDAesli)v eforyr Koof eRboedr gControl Cluster",Framatome,Expansion,"R96 389,56","R39 971 412,79","R486 200,00",2024/06/13,2022/01/04,2024/12/31,Reported,
198,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"Promvoisniiotonr ifnogr ,P S eh esy ccs toii ocrntai nl f ogS r ea acn udpr eiat ryriom G deu doa frr ted hsin rpegoe nS (se 3er )v yiinc e e aths res w Nhoicrhth iwncelsutd e",Bamogale Security Solutions,Expansion,"R4 582 195,20","R26 909 971,20","R0,00",2024/05/21,2021/06/01,2024/05/31,Reported,
199,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,,Modise Protection Services,,"R4 484 995,20","R27 493 171,20","R0,00",2024/05/21,2021/06/01,2024/05/31,Reported,
200,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,oM Mf oSpd uui mbfisc ata laatti noiognna f Po Prr rot ohjeve ic an tp ncsr de oo swvr i whspi eaio tnhrnt ”is n o r t ef Lh qr ieme urfeliu aro er nbf dg ir s ae bh q aCmu slieiusrnesttde a rfno Udr n Lc iitom onpnso t arpu noc “tai aonsnd,HighH VOoOlt aMMgae pn aTanegdceehA m n Bfr eoo unl soE ti g ncley ecc s Stt s/r aAi c E M(a nPl t ot ey o r)d p L rE it sd l ee c t r i c Ca l E E -,E x p a n s i on,"R117 751 474,00","R300 000 000,00","R153 873 433,94",2024/05/31,2017/04/01,2025/05/31,Reported,
201,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,UnFit r5e qEuaernthc yB Poxo wSewri tSchu pBpolyx aRte Kfuernbdisahl mPeonwt efro rS tthaeti oHnigh,Techno Environmental Filters (Pty) Ltd,Expansion,"R110 960,00","R1 416 946,40","R615 801,28",2024/06/18,2023/11/03,2024/09/30,Reported,
202,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,ProvisiRone soef aFracchi laitnieds IMnnaonvaagtieomn eCnet nStererv bicueilsd iantg Eskom,Kgoshi Electrical cc,Expansion,"R6 226 590,00","R23 130 359,03","R7 269 830,00",2024/05/27,2021/04/01,2024/03/31,Reported,
203,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"HDigehs iFgrne,q muaennucyfa Pctouwree,r i fnSos ru tpUapl nlaliytt s i(o H1n F, t oPte S6s)ti nagt ,K croieml mPoiswseiorn Sintagt ioofn",Lesedi Castlet Consortium,Expansion,"R3 480 031,85","R395 741 963,83","R0,00",2024/06/05,2021/12/03,2024/08/31,Reported,
204,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,Modification No. 2 foLre tthhea binos Ptaollwateior nS toaft iHoFn PT for Unit 1 to 6 at,Alstom/General Electric Power Services (Pty) Ltd,Expansion,"R6 998 999,93","R249 626 247,94","R70 209 758,80",2024./5/27,2019/12/31,2025/01/19,Reported,
205,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"duPrrionvgi sthioen oouf tPagJeF Fa ti nKsupsre eilceqt uioPirnoe,w dre e brp a aSsitirasst iaonnd o bna agn r eaps laacnedm wehnet n",TT Thermal Suppliers (Pty) Ltd,Expansion,"R34 269 246,73","R67 056 155,38","R0,00",2024/06/13,2021/12/01,2024/11/30,Reported,
206,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,ProvisioCnl eoaf nBinogil edru irnintegr nOaul thaiggeh aptr eKsussuirlee Pwoawsheirn Sg taantiodn general,Vhakoni Industrial Solutions,Expansion,"R8 847 665,00","R22 228 239,43","R11 008 321,24",2024/06/13,2021/06/15,2025/05/16,Reported,
207,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"The supply, delivevaryr ioaunsd Pooffwloeard iSntga toiof npsetrol and diesel to",PetroSA (SOC) Ltd,Expansion,"R225 976 611,47","R1 484 075 000,00","R1 884 972 556,65",2024/06/18,2019/10/01,2024/09/30,Reported,
208,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,dFairmsta PgOed - cgSoetmnri eppr oaantn oed rn Q mtsu a &o in tr eeo.pi l a pMiur o mCd paif mi &cda geti eno a nur bnP oiOtx 4 .- tMurabcinhein &e,Siemens Energy (Pty) Ltd,Expansion,"R9 367 709,78","R242 463,86","R0,00",2024/06/07,2024/03/26,2024/09/30,Reported,
209,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"Tfrhees hs ufrpupitl ya nadn ds adlealdivse or Pyn o oawfn p e ar ro sSc twe ashtiseoennd r eaqnudi rfereds bha vseisg etota Kbrleiesl,",,Expansion,"R1 012 409,39","R3 782 848,17","R0,00",2024/06/04,2021/12/01,2024/11/30,Reported,
210,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,The provision of coal plant cleaning and lashing,,Expansion,"R3 750 000,00","R38 837 558,51","R1 906 250,06",2024/06/25,2021/03/10,2024/09/30,Reported,
211,Q2 2024/25,2024/08/13,Department of Public Enterprises (DPE),Security guard,Siqobile Equestrial Security Services,Extension,"R9 292 835,26","R24 723 835,26","R0,00",2021/08/01,2021/08/01,2025/03/31,Reported,
212,Q2 2024/25,2024/08/12,Department of Public Enterprises (DPE),Provision of cleaning services,OKS Investent 2009,Reconfiguration of DPE,"R2 022 928,00","R567 445,30","R1 658 608,48",2019/10/19,2019/10/21,2024/08/31,Reported,
213,Q2 2024/25,2024/09/02,Public Protector South Africa,Additional parking bays for Bloemfontein,SKG Africa Group,pI rtpo ais cr ekim sinspg.r Pabc Pa DtySic esAa pt lh a ofr ro co tcmru uP egpP nhiet S nsoAo fs rt Pamo mu ap bler lco icboc um Wu ir lpde oei rnt kth gi stei .vt hea r d obd uidi gtdio hinn tga h l e,"R58 561,16","R508 074,25","R0,00",2024/08/13,Not stated,Not stated,Reported,
214,Q2 2024/25,2024/09/02,Public Protector South Africa,Extension of parking bays contract for PPSA Head Office,Redefine Properties,DpeI rtp po ai as cr r ek tim msinsp eg.r n Pab t c Pa otySi fc s PAa t u lh of bro co licr cu uP g WpPhieo SnsrAo k s srt am o (m Rapleer co nboc eumu gir lp odee ti nit ath git tei i v ot hea nr d ob od ui fdi gt pdio hainn rtkga hi l en g,"R1 513 997,99","R1 236 618,00","R0,00",2024/08/07,Not stated,Not stated,Reported,
215,Q2 2024/25,2024/09/04,Department of Justice (aDnodJ &CConDs)titutional Development,"DP Oceropfo fmaic crpu etmrr ie osem fi nnte hgt n e oot f Cf o:J hf ul o iS sectu fai cb Jle uso c sanr tnli iip cndete i Co , ( n Ooe nlS Cesec Jttir )trv ,uo i Ltcnieoeic gns a aaf lo ln ADrd ia edp v Lr Seien ologt uepa td hml L feAoib nfr r r tit,a ch tr aehy , e",1. LexisNexiSsa (bPintye) t LOtdn l2in. eJ u(Ptat y&) LCtod (Pty) Ltd 3.,Business rceopnlaticneumitye ntot parlloocwusr efomre tnhte p frinoacelissast.ion of the,"R6 849 296,22","R172 230 498,74","R37 371 031,86",2024/08/28,2024/09/01,2024/10/31,Reported,
216,Q2 2024/25,2024/09/04,Department of Justice (aDnodJ &CConDs)titutional Development,"LiAb Crpa opr noyloi s npott iustm ubee tl-ii on lcenat a ato fio lf p Dna us ebS v(le iF ecro lav orti pec iomeign enP ) n frOoo t,rv n ti thld hin ee ee r O,D fs fo efu ir pc bt eahs rec otm r fpi petr hto ni eov t ni Cos fit ho oJin e up fso r Jtifni ucVt seeir t d it cu a ean l d",LexisNexis (Pty) Ltd,Business rceopnlaticneumitye ntot parlloocwusr efomre tnhte p frinoacelissast.ion of the,"R302 595,81","R13 714 914,76","R8 105 191,62",2024/08/28,2024/09/01,2024/09/30,Reported,
217,Q2 2024/25,2024/09/04,National Prosecuting Authority of South Africa (NPA),"Completeg ivthee e svcidoepnec oef iwn othrke, Visrseudee aD fainirayl Pwrroitsteenc urteiopnort and to",ENS Forensics (Pty) Ltd,"pArodsde ccoustitoinng t etoa mp finr ae anp nda c r ipe ar le f aopnra atrr lia yni sgl, i stchoen sreuplto wrti tohn t hthee","R188 186,00","R1 260 666,60","R361 962,50",2024/08/30,2024/09/04,Not stated,Reported,
218,Q2 2024/25,2024/09/04,Legal Aid South Africa,Photograph service at the board gala dinner,AI Pictures,increasing the scope of work,"R1 500,00","R6 500,00","R0,00",2024/06/26,2024/05/17,2024/05/17,Reported,
219,Q2 2024/25,2024/09/04,Legal Aid South Africa,Johannesburg LO Cleaning services,Vogue Exchange,RFQ process not yet concluded,"R28 750,00","R172 500,00","R57 500,00",2024/07/22,2024/08/01,2024/09/30,Reported,
220,Q2 2024/25,2024/09/04,Legal Aid South Africa,Vryheid Local Office ( Lease of office accomodation),Hester Davel,Tender process not yet concluded,"R115 256,68","R2 556 602,98","R697 943,18",2024/07/31,2024/08/01,2024/09/30,Reported,
